Title;Developer(s);Publisher(s);Release Year
Energy Breaker;Neverland;Taito;ased
Equinox;Software Creations;Sony Imagesoft;1994
Esparks: Ijikuu Kara no Raihousha;;Tomy;ased
ESPN Baseball Tonight;Park Place Productions;Sony Imagesoft;1994
ESPN National Hockey Night;Sony Imagesoft;Sony Imagesoft;1994
ESPN SpeedWorld;Sony Imagesoft;Sony Imagesoft;1994
ESPN Sunday Night NFL;Absolute Entertainment;Sony Imagesoft;1994
Eternal Filena;;Tokuma Shoten;ased
Extra Innings;Sting Entertainment;Sony Imagesoft;1992
Eye of the Beholder;Capcom;Capcom;1994
F-1 Grand Prix;Video System;Video System;ased
F-1 Grand Prix Part II;Video System;Video System;ased
F-1 Grand Prix Part III;Video System;Video System;ased
F-Zero;Nintendo;Nintendo;1991
F1 Pole Position;Human Entertainment;Ubisoft;1993
F1 Pole Position 2;Human Entertainment;Ubisoft;ased
F1 ROC: Race of Champions;SETA;SETA;1992
F1 ROC II: Race of Champions;SETA;SETA;1994
F1 World Championship Edition;Domark;Acclaim Entertainment;ased
Faceball 2000;Xanth Software;Bullet-Proof Software;1992
Famicom Bunko: Hajimari no Mori;Pax Softonica;Nintendo;ased
Famicom Tantei Club Part II: Ushiro ni Tatsu Shōjo;Nintendo R&D1;Nintendo;ased
Family Dog;Imagineering;Malibu Games;1993
Family Feud;Imagineering;GameTek;1993
Farland Story: Yottsu no Fuuin;Technical Group Laboratory;Banpresto;ased
Farland Story 2: Dance of Destruction;Technical Group Laboratory;Banpresto;ased
Fatal Fury;Nova Co., Ltd;Takara;1993
Fatal Fury 2;Nova Co., Ltd;Takara;1994
Fatal Fury Special;Takara;Takara;1995
Feda: The Emblem of Justice;Max Entertainment;Yanoman;ased
Fever Pitch Soccer;U.S. Gold;U.S. Gold;1995
FIFA International Soccer;Extended Play Productions;EA Sports;1994
FIFA Soccer 96;Extended Play Productions /;EA Sports;1995
FIFA 97: Gold Edition;Electronic Arts;EA Sports;1996
FIFA: Road to World Cup 98;Electronic Arts;EA Sports;ased
Fighter's History;Data East;Data East;1994
Fighter's History: Mizoguchi Kiki Ippatsu!!;Data East;Data East;ased
Final Fantasy II;Square;Square;1991
Final Fantasy III;Square;Square;1994
Final Fantasy V;Square;Square;ased
Final Fantasy Mystic Quest;Square;Square;1992
Final Fight;Capcom;Capcom;1991
Final Fight 2;Capcom;Capcom;1993
Final Fight 3;Capcom;Capcom;1995
Final Fight Guy;Capcom;Capcom;1994
Final Set Tennis;Human Entertainment;Human Entertainment;ased
Final Stretch;Genki;LOZC G. Amusements;ased
Fire Emblem: Monshou no Nazo;Intelligent Systems;Nintendo;ased
Fire Emblem: Seisen no Keifu;Intelligent Systems;Nintendo;ased
Fire Emblem: Thracia 776;Intelligent Systems;Nintendo;ased
Fire Pro Joshi: All Star Dream Slam;;Human Entertainment;ased
The Firemen;Human Entertainment;Human Entertainment;ased
Firepower 2000;Sales Curve Interactive;Sunsoft;1992
Firestriker;Axes Art Amuse;DTMC;1994
First Samurai;Kemco;Kemco;1993
First Queen;;Culture Brain;lled
Fishing Koushien;A-Wave;King Records;ased
Flashback: The Quest for Identity;Delphine Software International;U.S. Gold;1994
The Flintstones;Ocean Software;Ocean Software;1995
The Flintstones: The Treasure of Sierra Madrock;Taito;Taito;1994
Flying Hero: Bugyuru no Daibouken;Sting Entertainment;SOFEL;ased
Football Fury;American Sammy;American Sammy;1993
Foreman For Real;Software Creations;Acclaim Entertainment;1995
Fortune Quest: Dice wo Korogase;Natsume;Zamuse;ased
Frank Thomas' Big Hurt Baseball;Iguana Entertainment;Acclaim Entertainment;1995
Frantic Flea;Haus Teknikka;GameTek;1996
Frogger;Morning Star Multimedia;Majesco Entertainment;1998
From TV Animation Slam Dunk: Dream Team Shueisha Limited;Tose;Bandai;ased
From TV Animation Slam Dunk: SD Heat Up!!;Tose;Bandai;ased
From TV Animation Slam Dunk 2: IH Yosen Kanzenhan!!;Tose;Bandai;ased
From TV Animation Slam Dunk: Yonkyo Taiketsu!!;Tose;Bandai;ased
Front Mission;G-Craft;Square;ased
Front Mission Series: Gun Hazard;Omiya Soft;Square;ased
Full Throttle: All-American Racing;Gremlin Interactive;GameTek;1995
Fun 'n Games;Leland Interactive Media;Tradewest;1994
Funaki Masakatsu no Hybrid Wrestler: Tōgi Denshō;;Technōs Japan;ased
Fune Tarou;;Victor Interactive Software;ased
Furuta Atsuya no Simulation Pro Yakyuu 2;Hect;Hect;ased
Fushigi no Dungeon 2: Furai no Shiren;Chun Soft;Chun Soft;ased
G-O-D: Mezame yoto Yobu Koe ga Kikoe;Infinity;Imagineer;ased
Gaia Saver;Arc System Works;Banpresto;ased
Gakkou de atta Kowai Hanashi;Pandora Box;Banpresto;ased
Galaxy Robo;Copya Systems;Imagineer;ased
Galaxy Wars;C-Lab;Imagineer;ased
Gambler Jikochuushinha: Mahjong Kouisen;Bits Laboratory;Palsoft;ased
Gambler Jikochuushinha 2: Dorapon Quest;Bits Laboratory;Pack-In-Video;ased
Gambling Hourouki;;VAP;ased
Game no Tatsujin;Affect;Sunsoft;ased
Game no Tetsujin: The Shanghai;;Sunsoft;ased
Gamera: Gyaosu Gekimetsu Sakusen;Axes Art Amuse;Sammy Corporation;ased
Gan Gan Ganchan;Team Mental Care;Magifact;ased
Ganbare Daiku no Gensan;Irem;Irem;lled
Ganbare Goemon 2: Kiteretsu Shougun McGuiness;Konami;Konami;ased
Ganbare Goemon 3: Shishi Juurokubee no Karakuri Manjigatame;Konami;Konami;ased
Ganbare Goemon Kirakira Dōchū: Boku ga Dancer ni Natta Wake;Konami;Konami;ased
Ganpuru: Gunman's Proof;Lenar;ASCII Entertainment;ased
Ganso Pachi-Slot Nippon'ichi;;Coconuts Japan;ased
Ganso Pachinko Ou;;Coconuts Japan;ased
Garry Kitchen's Super Battletank: War in the Gulf;Imagineering;Absolute Entertainment;1992
Gdleen;Jorudan;SETA;lled
Gegege no Kitarou: Fukkatsu! Tenma Daiou;BEC;Bandai;lled
Gegege no Kitarou: Youkai Donjaara;Tom Create;Bandai;ased
Gekisou Sentai Carranger: Zenkai! Racer Senshi;Natsume;Bandai;ased
Gekitotsu Dangan Jidōsha Kessen: Battle Mobile;System Sacom;System Sacom;ased
Gekitou Burning Pro Wrestling;Ukiyotei;Bullet-Proof Software;ased
Gemfire;Koei;Koei;1992
Genghis Khan II: Clan of the Gray Wolf;Koei;Koei;1993
Genjuu Ryodan;Crea-Tech;Axela;ased
Genocide 2;Bits Studios;Kemco;lled
George Foreman's KO Boxing;Beam Software;Acclaim Entertainment;1992
Getsumen no Anubis;Access;Imagineer;ased
Ghost Chaser Densei;Winkysoft;Banpresto;ased
Ghost Sweeper Mikami: Joreishi ha Nice Body;Natsume;Banalex;ased
Ghoul Patrol;LucasArts;JVC Musical Industries;1994
Ginga Eiyuu Densetsu: Senjutsu Simulation;Advance Communication Company;Tokuma Shoten;ased
Ginga Sengoku Gun'yūden Rai;Angel;Angel;ased
Gintama Oyakata no Jissen Pachinko Hisshouhou;Sammy Corporation;Sammy Corporation;ased
